task_id,name,category,version,n_param,LOC_Total,LOC_Code,LOC_Comment,Comment_Density,CC_Average,CC_Max,CC_Functions,MI_Score,MI_Rank,H_Volume,H_Difficulty,H_Effort,H_Bugs,Cognitive_CC,Max_Nesting,Avg_Func_Length,Code_Smells,Duplicate_Pct
63,kmeans_1d,numerical,v1_clean,30,60,54,0,0.0,9.0,11,3,41.06453448204965,A,313.03562649079146,4.75,1486.9192258312594,0.10434520883026382,28,4,15.0,12,1.8181818181818181
63,kmeans_1d,numerical,v2_medium,30,69,64,0,0.0,9.0,11,3,38.85111268406224,A,404.259108776295,5.4,2182.9991873919935,0.134753036258765,46,7,18.0,11,3.125
63,kmeans_1d,numerical,v3_bad,30,103,98,0,0.0,12.333333333333334,18,3,33.19499047402085,A,442.4491766737767,5.571428571428571,2465.0739843253273,0.1474830588912589,95,10,29.0,22,25.510204081632654
64,histogram_compute,numerical,v1_clean,100,48,42,0,0.0,6.0,11,3,44.64013483800171,A,309.6277232931715,5.2,1610.064161124492,0.10320924109772384,14,4,11.0,7,0.0
64,histogram_compute,numerical,v2_medium,100,57,52,0,0.0,6.0,11,3,42.04924446734256,A,401.54359184795527,6.485294117647059,2604.128294190416,0.1338478639493184,32,7,14.0,6,1.9230769230769231
64,histogram_compute,numerical,v3_bad,100,81,76,0,0.0,8.0,13,3,37.373450026238494,A,439.34824770637397,6.625,2910.6821410547277,0.14644941590212465,63,10,21.666666666666668,13,18.42105263157895
65,running_stats,numerical,v1_clean,5000000,45,39,0,0.0,5.333333333333333,11,3,45.565550575211795,A,312.567201937737,5.517241379310345,1724.5087003461354,0.10418906731257901,12,4,10.0,7,0.0
65,running_stats,numerical,v2_medium,5000000,54,49,0,0.0,5.333333333333333,11,3,42.87914372700509,A,401.81640034635626,6.0606060606060606,2435.250911190038,0.1339388001154521,30,7,13.0,6,2.0408163265306123
65,running_stats,numerical,v3_bad,5000000,74,69,0,0.0,6.666666666666667,13,3,38.82563379302006,A,439.5274451308699,6.171428571428572,2712.5122328076545,0.14650914837695664,57,10,19.333333333333332,11,14.492753623188406
66,discrete_convolution,numerical,v1_clean,2000,41,35,0,0.0,5.666666666666667,11,3,46.74148006415063,A,258.9847087242502,4.129032258064516,1069.3562166678716,0.08632823624141674,13,4,8.666666666666666,9,0.0
66,discrete_convolution,numerical,v2_medium,2000,50,45,0,0.0,5.666666666666667,11,3,43.768201742942495,A,349.403623592787,5.4,1886.7795674010501,0.11646787453092901,31,7,11.666666666666666,8,2.2222222222222223
66,discrete_convolution,numerical,v3_bad,2000,72,67,0,0.0,7.0,13,3,39.21922845630524,A,386.6493369239909,5.594594594594595,2163.146290358544,0.12888311230799698,59,10,18.666666666666668,13,19.402985074626866
67,lcm_batch,numerical,v1_clean,150000,41,34,0,0.0,3.8,11,5,48.208102754466104,A,208.0762450362488,4.083333333333333,849.6446672313492,0.06935874834541626,13,4,4.4,6,0.0
67,lcm_batch,numerical,v2_medium,150000,51,44,0,0.0,3.8,11,5,44.7072507554259,A,294.6857250822118,5.428571428571429,1599.7225075891497,0.09822857502740392,31,7,6.4,5,2.272727272727273
67,lcm_batch,numerical,v3_bad,150000,71,64,0,0.0,4.6,13,5,40.26962609816708,A,330.61943334694587,5.6,1851.4688267428967,0.11020647778231529,58,10,10.2,10,15.625
68,prime_factorization,numerical,v1_clean,30000,46,39,0,0.0,5.0,11,4,45.965397919284136,A,240.0,6.260869565217392,1502.608695652174,0.08,14,4,7.25,7,0.0
68,prime_factorization,numerical,v2_medium,30000,55,49,0,0.0,5.0,11,4,43.091076583148975,A,328.19556203462383,7.777777777777778,2552.6321491581853,0.10939852067820795,32,7,9.5,6,2.0408163265306123
68,prime_factorization,numerical,v3_bad,30000,78,72,0,0.0,6.25,13,4,38.452000989908456,A,364.69275310149516,7.931034482758621,2892.390800460134,0.12156425103383171,62,10,15.0,12,18.055555555555557
